cell_id,vitmae_leiden_macs,Has_DE_Genes
bbniddel-1,10,True
bboeaekk-1,13,True
bbohfado-1,13,True
bbohgkjo-1,13,True
bboideck-1,13,True
bbomdhej-1,10,True
bbonjpei-1,13,True
bbpdelha-1,13,True
bbpoeffd-1,10,True
bcaaabbk-1,10,True
bcacocmh-1,10,True
bcaehbff-1,10,True
bcagceic-1,13,True
bcahakop-1,13,True
bcalmgio-1,10,True
bcapbmmg-1,1,True
bcapdbhe-1,13,True
bcbcalpg-1,10,True
bcbfkgoe-1,13,True
bceokojf-1,10,True
bcgahojn-1,13,True
bcgnncdo-1,13,True
bchoghap-1,10,True
bchohjhh-1,13,True
bcidlbin-1,13,True
bcihhjmg-1,13,True
bcjdmpnm-1,10,True
bcjfblek-1,13,True
bckgfpcc-1,13,True
bckghheh-1,13,True
bckgofii-1,13,True
bckkbeda-1,13,True
bcklheob-1,10,True
bckmhhba-1,10,True
bclgnnge-1,13,True
bcmcdbdh-1,13,True
bcojebjk-1,13,True
bconbick-1,13,True
bcopfkge-1,13,True
bcphokpo-1,13,True
bcpmkkok-1,13,True
bcpnokii-1,13,True
bcpojnok-1,13,True
bdaamife-1,10,True
bdaholnb-1,13,True
bdbaekkk-1,13,True
bdbdiaco-1,13,True
bdbniljn-1,13,True
bddlodgj-1,13,True
bdfneolh-1,13,True
bdhdkbnj-1,13,True
bdhglnlm-1,13,True
bdhkcihe-1,6,False
bdhkelpb-1,13,True
bdhmomfk-1,10,True
bdhpbaai-1,10,True
bdjboabe-1,10,True
bdkcpfjn-1,6,False
bdkcpgof-1,10,True
bdkdgnig-1,13,True
bdkklkfj-1,10,True
bdldigpo-1,13,True
bdlfannp-1,13,True
bdliidfo-1,2,False
bdlimbij-1,13,True
bdmflifc-1,13,True
bdmggcid-1,10,True
bdnedajm-1,10,True
bdneello-1,13,True
bdngnppg-1,10,True
bdnhgojd-1,10,True
bdnicnhl-1,10,True
bdnolneh-1,13,True
bdnphbhp-1,10,True
bdobokjb-1,10,True
bdokbbhi-1,13,True
bdokbhcf-1,10,True
bdokddlj-1,13,True
bdolffmf-1,13,True
bdolgond-1,10,True
bdpefjgg-1,13,True
bdpkknig-1,10,True
bdppogeh-1,13,True
bealobmj-1,10,True
bebecilg-1,10,True
bebhgiom-1,13,True
bebhocgg-1,3,False
bebigadb-1,10,True
bebjpmjm-1,10,True
bebpjkgo-1,10,True
becelaja-1,10,True
becfpiag-1,13,True
becgiofl-1,10,True
becgkdnc-1,10,True
becgloin-1,13,True
becimdom-1,13,True
becmaioh-1,10,True
becmeloo-1,13,True
beddhdgp-1,10,True
beeaamlb-1,13,True
beeaigli-1,13,True
beebmjpo-1,13,True
beecdbak-1,10,True
beennkdb-1,13,True
beeobbkk-1,13,True
beffgiok-1,10,True
beffnnjl-1,13,True
beffpmhg-1,13,True
befjlbgi-1,13,True
befnhagd-1,13,True
befoemeb-1,10,True
befpjhid-1,6,False
befpppng-1,10,True
begaihne-1,13,True
begelgjj-1,10,True
begelmlh-1,10,True
begiahka-1,13,True
begifmgc-1,13,True
begmglbp-1,13,True
begmkllo-1,13,True
begoenlk-1,13,True
begplnap-1,10,True
behecakl-1,10,True
behidbdi-1,10,True
behihnml-1,10,True
behmlpik-1,10,True
behncgoo-1,10,True
behneanp-1,10,True
behnocgj-1,10,True
behoapen-1,13,True
bejhdgle-1,13,True
bejlejkl-1,2,False
bejofdcc-1,10,True
bekblmfo-1,10,True
bekhhpml-1,13,True
bekihjdp-1,10,True
bekkkdan-1,13,True
bekkpbjo-1,13,True
bekmbmpn-1,10,True
bekofckm-1,13,True
belbbdde-1,10,True
belbliaj-1,3,False
belfmbif-1,3,False
belfmckh-1,3,False
belkdgik-1,10,True
belljjfa-1,3,False
belllikc-1,7,False
belmaial-1,3,False
bemackbk-1,7,False
bemadaaj-1,3,False
bemaddmn-1,7,False
bemagdfh-1,10,True
bemboeic-1,3,False
bemcdgkp-1,3,False
bemlafim-1,13,True
beneophd-1,13,True
benfomkm-1,13,True
beniojfa-1,7,False
benjdpcb-1,3,False
benjidpl-1,3,False
benjnfob-1,3,False
benoaldf-1,13,True
benpiiph-1,10,True
beochmbp-1,6,False
beoeebig-1,9,True
beoeikop-1,10,True
beohkgib-1,10,True
beohokpf-1,13,True
beokaeea-1,10,True
beokiaho-1,10,True
beoklkpl-1,4,True
beokmnkl-1,10,True
beoknpmp-1,3,False
beolhnkl-1,10,True
beolmbok-1,13,True
beolnfgc-1,6,False
beoocggf-1,13,True
bepengaa-1,13,True
bepenklj-1,13,True
bepgpcbg-1,13,True
bepjhekd-1,12,True
bepnhiel-1,13,True
bfagolab-1,13,True
bfahodob-1,13,True
bfanmpjd-1,10,True
bfbepmed-1,13,True
bfbfblco-1,13,True
bfbgbfol-1,10,True
bfbifndm-1,13,True
bfbijkcb-1,13,True
bfbkoicp-1,10,True
bfbmeokd-1,13,True
bfbndoop-1,10,True
bfcapkap-1,10,True
bfcdmjca-1,10,True
bfcgpmje-1,10,True
bfckolpl-1,10,True
bfdbmbif-1,10,True
bfeghlbn-1,13,True
bfehlbaf-1,10,True
bfeikdfn-1,13,True
bffcfdkp-1,10,True
bffkimeg-1,10,True
bfflkabi-1,10,True
bffpdhme-1,13,True
bffpgoee-1,10,True
bffpjjgk-1,13,True
bfgfengk-1,10,True
bfggkdml-1,13,True
bfghheap-1,13,True
bfgnieal-1,10,True
bfgnpmho-1,10,True
bfhgaopi-1,10,True
bfiboghk-1,10,True
bfiebhig-1,10,True
bfihgdhm-1,13,True
bfillonn-1,10,True
bfjelkmb-1,10,True
bfkmbgef-1,2,False
bfkmfpmf-1,13,True
bfkmgeha-1,6,False
bflcebmb-1,10,True
bfmkglnb-1,10,True
bfnmgdem-1,10,True
bfnmoofm-1,10,True
bfobfnki-1,10,True
bfobioke-1,13,True
bfodlogn-1,13,True
bfoeckah-1,13,True
bfoeonmj-1,13,True
bfoikgon-1,13,True
bfoiohkn-1,10,True
bfojkpid-1,2,False
bfokanjo-1,13,True
bfokfgpm-1,10,True
bfokpknn-1,10,True
bfolbcko-1,13,True
bfollnmi-1,13,True
bfomfpao-1,13,True
bfomgkhk-1,13,True
bfonbdgi-1,10,True
bfonckfd-1,10,True
bgagnilp-1,13,True
bgbhljdc-1,13,True
bgbhpdnk-1,13,True
bgcckpgi-1,10,True
bgceoajl-1,10,True
bgcjliao-1,10,True
bgdnbola-1,13,True
bgejcobb-1,10,True
bggpljal-1,13,True
bghchinb-1,13,True
bgibkmkk-1,13,True
bgihndpm-1,10,True
bgiplpgc-1,13,True
bgjbogjp-1,13,True
bglkhkkl-1,3,False
bglkpmkn-1,13,True
bglkpomp-1,5,False
bgllmbmi-1,3,False
bglodjje-1,3,False
bgloplmm-1,3,False
bgmbfdbk-1,3,False
bgmbhofc-1,3,False
bgmcoblo-1,3,False
bgmemadm-1,3,False
bgmfcnpb-1,13,True
